country,type,litres
Afghanistan,beer_servings,0.0
Afghanistan,spirit_servings,0.0
Afghanistan,total_litres_of_pure_alcohol,0.0
Afghanistan,wine_servings,0.0
Albania,total_litres_of_pure_alcohol,4.9
Albania,beer_servings,89.0
Albania,spirit_servings,132.0
Albania,wine_servings,54.0
Algeria,spirit_servings,0.0
Algeria,total_litres_of_pure_alcohol,0.7
Algeria,beer_servings,25.0
Algeria,wine_servings,14.0
Andorra,spirit_servings,138.0
Andorra,total_litres_of_pure_alcohol,12.4
Andorra,beer_servings,245.0
Andorra,wine_servings,312.0
Angola,spirit_servings,57.0
Angola,total_litres_of_pure_alcohol,5.9
Angola,wine_servings,45.0
Angola,beer_servings,217.0
Antigua & Barbuda,beer_servings,102.0
Antigua & Barbuda,total_litres_of_pure_alcohol,4.9
Antigua & Barbuda,spirit_servings,128.0
Antigua & Barbuda,wine_servings,45.0
Argentina,beer_servings,193.0
Argentina,total_litres_of_pure_alcohol,8.3
Argentina,spirit_servings,25.0
Argentina,wine_servings,221.0
Armenia,wine_servings,11.0
Armenia,total_litres_of_pure_alcohol,3.8
Armenia,spirit_servings,179.0
Armenia,beer_servings,21.0
Australia,total_litres_of_pure_alcohol,10.4
Australia,beer_servings,261.0
Australia,spirit_servings,72.0
Australia,wine_servings,212.0
Austria,wine_servings,191.0
Austria,total_litres_of_pure_alcohol,9.7
Austria,beer_servings,279.0
Austria,spirit_servings,75.0
Azerbaijan,total_litres_of_pure_alcohol,1.3
Azerbaijan,wine_servings,5.0
Azerbaijan,beer_servings,21.0
Azerbaijan,spirit_servings,46.0
Bahamas,total_litres_of_pure_alcohol,6.3
Bahamas,spirit_servings,176.0
Bahamas,beer_servings,122.0
Bahamas,wine_servings,51.0
Bahrain,spirit_servings,63.0
Bahrain,beer_servings,42.0
Bahrain,total_litres_of_pure_alcohol,2.0
Bahrain,wine_servings,7.0
Bangladesh,total_litres_of_pure_alcohol,0.0
Bangladesh,spirit_servings,0.0
Bangladesh,wine_servings,0.0
Bangladesh,beer_servings,0.0
Barbados,beer_servings,143.0
Barbados,total_litres_of_pure_alcohol,6.3
Barbados,wine_servings,36.0
Barbados,spirit_servings,173.0
Belarus,wine_servings,42.0
Belarus,spirit_servings,373.0
Belarus,beer_servings,142.0
Belarus,total_litres_of_pure_alcohol,14.4
Belgium,spirit_servings,84.0
Belgium,total_litres_of_pure_alcohol,10.5
Belgium,beer_servings,295.0
Belgium,wine_servings,212.0
Belize,wine_servings,8.0
Belize,total_litres_of_pure_alcohol,6.8
Belize,spirit_servings,114.0
